Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop
train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:  89%|████████▊ | 886/1000 [1:10:03<08:05,  4.26s/it, loss=0.1554, lr=1.14e-04, sup=8, onp=8, gpu=22.48G]
train:  89%|████████▊ | 886/1000 [1:10:08<08:05,  4.26s/it, loss=0.1492, lr=1.13e-04, sup=8, onp=8, gpu=22.48G]
train:  89%|████████▊ | 887/1000 [1:10:08<08:02,  4.27s/it, loss=0.1492, lr=1.13e-04, sup=8, onp=8, gpu=22.48G]
train:  89%|████████▊ | 887/1000 [1:10:12<08:02,  4.27s/it, loss=0.1631, lr=1.12e-04, sup=9, onp=7, gpu=22.48G]
train:  89%|████████▉ | 888/1000 [1:10:12<07:56,  4.26s/it, loss=0.1631, lr=1.12e-04, sup=9, onp=7, gpu=22.48G]
train:  89%|████████▉ | 888/1000 [1:10:15<07:56,  4.26s/it, loss=0.1469, lr=1.11e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 889/1000 [1:10:15<07:48,  4.22s/it, loss=0.1469, lr=1.11e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 889/1000 [1:10:19<07:48,  4.22s/it, loss=0.1498, lr=1.10e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 890/1000 [1:10:19<07:39,  4.18s/it, loss=0.1498, lr=1.10e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 890/1000 [1:10:22<07:39,  4.18s/it, loss=0.1493, lr=1.09e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 891/1000 [1:10:22<07:28,  4.11s/it, loss=0.1493, lr=1.09e-04, sup=10, onp=6, gpu=22.48G]
train:  89%|████████▉ | 891/1000 [1:10:25<07:28,  4.11s/it, loss=0.1502, lr=1.08e-04, sup=9, onp=7, gpu=22.48G] 
train:  89%|████████▉ | 892/1000 [1:10:25<07:21,  4.08s/it, loss=0.1502, lr=1.08e-04, sup=9, onp=7, gpu=22.48G]
train:  89%|████████▉ | 892/1000 [1:10:29<07:21,  4.08s/it, loss=0.1519, lr=1.07e-04, sup=9, onp=7, gpu=22.48G]
train:  89%|████████▉ | 893/1000 [1:10:29<07:12,  4.04s/it, loss=0.1519, lr=1.07e-04, sup=9, onp=7, gpu=22.48G]
train:  89%|████████▉ | 893/1000 [1:10:34<07:12,  4.04s/it, loss=0.1468, lr=1.06e-04, sup=5, onp=11, gpu=22.48G]
train:  89%|████████▉ | 894/1000 [1:10:34<07:15,  4.11s/it, loss=0.1468, lr=1.06e-04, sup=5, onp=11, gpu=22.48G]
train:  89%|████████▉ | 894/1000 [1:10:37<07:15,  4.11s/it, loss=0.1584, lr=1.05e-04, sup=8, onp=8, gpu=22.48G] 
train:  90%|████████▉ | 895/1000 [1:10:37<07:05,  4.05s/it, loss=0.1584, lr=1.05e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|████████▉ | 895/1000 [1:10:41<07:05,  4.05s/it, loss=0.1596, lr=1.04e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|████████▉ | 896/1000 [1:10:41<07:01,  4.05s/it, loss=0.1596, lr=1.04e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|████████▉ | 896/1000 [1:10:44<07:01,  4.05s/it, loss=0.1560, lr=1.03e-04, sup=13, onp=3, gpu=22.48G]
train:  90%|████████▉ | 897/1000 [1:10:44<06:51,  4.00s/it, loss=0.1560, lr=1.03e-04, sup=13, onp=3, gpu=22.48G]
train:  90%|████████▉ | 897/1000 [1:10:49<06:51,  4.00s/it, loss=0.1408, lr=1.02e-04, sup=5, onp=11, gpu=22.48G]
train:  90%|████████▉ | 898/1000 [1:10:49<06:54,  4.06s/it, loss=0.1408, lr=1.02e-04, sup=5, onp=11, gpu=22.48G]
train:  90%|████████▉ | 898/1000 [1:10:54<06:54,  4.06s/it, loss=0.1586, lr=1.01e-04, sup=8, onp=8, gpu=22.48G] 
train:  90%|████████▉ | 899/1000 [1:10:54<06:52,  4.08s/it, loss=0.1586, lr=1.01e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|████████▉ | 899/1000 [1:10:58<06:52,  4.08s/it, loss=0.1460, lr=1.00e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|█████████ | 900/1000 [1:10:58<06:50,  4.11s/it, loss=0.1460, lr=1.00e-04, sup=8, onp=8, gpu=22.48G]
                                                                                                               

train:  90%|█████████ | 900/1000 [1:10:58<06:50,  4.11s/it, loss=0.1460, lr=1.00e-04, sup=8, onp=8, gpu=22.48G]
train:  90%|█████████ | 900/1000 [1:11:02<06:50,  4.11s/it, loss=0.1459, lr=9.90e-05, sup=9, onp=7, gpu=22.48G]
train:  90%|█████████ | 901/1000 [1:11:02<06:43,  4.08s/it, loss=0.1459, lr=9.90e-05, sup=9, onp=7, gpu=22.48G]
train:  90%|█████████ | 901/1000 [1:11:07<06:43,  4.08s/it, loss=0.1435, lr=9.80e-05, sup=6, onp=10, gpu=22.48G]
train:  90%|█████████ | 902/1000 [1:11:07<06:44,  4.13s/it, loss=0.1435, lr=9.80e-05, sup=6, onp=10, gpu=22.48G]
train:  90%|█████████ | 902/1000 [1:11:10<06:44,  4.13s/it, loss=0.1466, lr=9.70e-05, sup=11, onp=5, gpu=22.48G]
train:  90%|█████████ | 903/1000 [1:11:10<06:34,  4.07s/it, loss=0.1466, lr=9.70e-05, sup=11, onp=5, gpu=22.48G]
train:  90%|█████████ | 903/1000 [1:11:15<06:34,  4.07s/it, loss=0.1479, lr=9.60e-05, sup=5, onp=11, gpu=22.48G]
train:  90%|█████████ | 904/1000 [1:11:15<06:34,  4.11s/it, loss=0.1479, lr=9.60e-05, sup=5, onp=11, gpu=22.48G]
train:  90%|█████████ | 904/1000 [1:11:21<06:34,  4.11s/it, loss=0.1441, lr=9.50e-05, sup=2, onp=14, gpu=22.48G]
train:  90%|█████████ | 905/1000 [1:11:21<06:42,  4.23s/it, loss=0.1441, lr=9.50e-05, sup=2, onp=14, gpu=22.48G]
train:  90%|█████████ | 905/1000 [1:11:25<06:42,  4.23s/it, loss=0.1516, lr=9.40e-05, sup=9, onp=7, gpu=22.48G] 
train:  91%|█████████ | 906/1000 [1:11:25<06:37,  4.23s/it, loss=0.1516, lr=9.40e-05, sup=9, onp=7, gpu=22.48G]
train:  91%|█████████ | 906/1000 [1:11:29<06:37,  4.23s/it, loss=0.1584, lr=9.30e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 907/1000 [1:11:29<06:30,  4.20s/it, loss=0.1584, lr=9.30e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 907/1000 [1:11:32<06:30,  4.20s/it, loss=0.1476, lr=9.20e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 908/1000 [1:11:32<06:20,  4.14s/it, loss=0.1476, lr=9.20e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 908/1000 [1:11:34<06:20,  4.14s/it, loss=0.1643, lr=9.10e-05, sup=12, onp=4, gpu=22.48G]
train:  91%|█████████ | 909/1000 [1:11:34<06:08,  4.05s/it, loss=0.1643, lr=9.10e-05, sup=12, onp=4, gpu=22.48G]
train:  91%|█████████ | 909/1000 [1:11:38<06:08,  4.05s/it, loss=0.1432, lr=9.00e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 910/1000 [1:11:38<06:02,  4.03s/it, loss=0.1432, lr=9.00e-05, sup=10, onp=6, gpu=22.48G]
train:  91%|█████████ | 910/1000 [1:11:42<06:02,  4.03s/it, loss=0.1363, lr=8.90e-05, sup=9, onp=7, gpu=22.48G] 
train:  91%|█████████ | 911/1000 [1:11:42<05:58,  4.03s/it, loss=0.1363, lr=8.90e-05, sup=9, onp=7, gpu=22.48G]
train:  91%|█████████ | 911/1000 [1:11:46<05:58,  4.03s/it, loss=0.1615, lr=8.80e-05, sup=7, onp=9, gpu=22.48G]
train:  91%|█████████ | 912/1000 [1:11:46<05:53,  4.02s/it, loss=0.1615, lr=8.80e-05, sup=7, onp=9, gpu=22.48G]
train:  91%|█████████ | 912/1000 [1:11:51<05:53,  4.02s/it, loss=0.1478, lr=8.70e-05, sup=6, onp=10, gpu=22.48G]
train:  91%|█████████▏| 913/1000 [1:11:51<05:53,  4.06s/it, loss=0.1478, lr=8.70e-05, sup=6, onp=10, gpu=22.48G]
train:  91%|█████████▏| 913/1000 [1:11:55<05:53,  4.06s/it, loss=0.1629, lr=8.60e-05, sup=9, onp=7, gpu=22.48G] 
train:  91%|█████████▏| 914/1000 [1:11:55<05:48,  4.05s/it, loss=0.1629, lr=8.60e-05, sup=9, onp=7, gpu=22.48G]
train:  91%|█████████▏| 914/1000 [1:11:58<05:48,  4.05s/it, loss=0.1486, lr=8.50e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 915/1000 [1:11:58<05:40,  4.00s/it, loss=0.1486, lr=8.50e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 915/1000 [1:12:01<05:40,  4.00s/it, loss=0.1491, lr=8.40e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 916/1000 [1:12:01<05:34,  3.99s/it, loss=0.1491, lr=8.40e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 916/1000 [1:12:06<05:34,  3.99s/it, loss=0.1472, lr=8.30e-05, sup=7, onp=9, gpu=22.48G] 
train:  92%|█████████▏| 917/1000 [1:12:06<05:34,  4.03s/it, loss=0.1472, lr=8.30e-05, sup=7, onp=9, gpu=22.48G]
train:  92%|█████████▏| 917/1000 [1:12:10<05:34,  4.03s/it, loss=0.1520, lr=8.20e-05, sup=8, onp=8, gpu=22.48G]
train:  92%|█████████▏| 918/1000 [1:12:10<05:31,  4.04s/it, loss=0.1520, lr=8.20e-05, sup=8, onp=8, gpu=22.48G]
train:  92%|█████████▏| 918/1000 [1:12:14<05:31,  4.04s/it, loss=0.1584, lr=8.10e-05, sup=8, onp=8, gpu=22.48G]
train:  92%|█████████▏| 919/1000 [1:12:14<05:25,  4.02s/it, loss=0.1584, lr=8.10e-05, sup=8, onp=8, gpu=22.48G]
train:  92%|█████████▏| 919/1000 [1:12:17<05:25,  4.02s/it, loss=0.1509, lr=8.00e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 920/1000 [1:12:17<05:17,  3.97s/it, loss=0.1509, lr=8.00e-05, sup=10, onp=6, gpu=22.48G]
train:  92%|█████████▏| 920/1000 [1:12:22<05:17,  3.97s/it, loss=0.1538, lr=7.90e-05, sup=8, onp=8, gpu=22.48G] 
train:  92%|█████████▏| 921/1000 [1:12:22<05:15,  4.00s/it, loss=0.1538, lr=7.90e-05, sup=8, onp=8, gpu=22.48G]
train:  92%|█████████▏| 921/1000 [1:12:25<05:15,  4.00s/it, loss=0.1297, lr=7.80e-05, sup=9, onp=7, gpu=22.48G]
train:  92%|█████████▏| 922/1000 [1:12:25<05:09,  3.96s/it, loss=0.1297, lr=7.80e-05, sup=9, onp=7, gpu=22.48G]
train:  92%|█████████▏| 922/1000 [1:12:29<05:09,  3.96s/it, loss=0.1534, lr=7.70e-05, sup=11, onp=5, gpu=22.48G]
train:  92%|█████████▏| 923/1000 [1:12:29<05:04,  3.95s/it, loss=0.1534, lr=7.70e-05, sup=11, onp=5, gpu=22.48G]
train:  92%|█████████▏| 923/1000 [1:12:32<05:04,  3.95s/it, loss=0.1513, lr=7.60e-05, sup=7, onp=9, gpu=22.48G] 
train:  92%|█████████▏| 924/1000 [1:12:32<04:56,  3.91s/it, loss=0.1513, lr=7.60e-05, sup=7, onp=9, gpu=22.48G]
train:  92%|█████████▏| 924/1000 [1:12:39<04:56,  3.91s/it, loss=0.1414, lr=7.50e-05, sup=5, onp=11, gpu=22.48G]
train:  92%|█████████▎| 925/1000 [1:12:39<05:04,  4.06s/it, loss=0.1414, lr=7.50e-05, sup=5, onp=11, gpu=22.48G]
                                                                                                                

train:  92%|█████████▎| 925/1000 [1:12:39<05:04,  4.06s/it, loss=0.1414, lr=7.50e-05, sup=5, onp=11, gpu=22.48G]
train:  92%|█████████▎| 925/1000 [1:12:42<05:04,  4.06s/it, loss=0.1568, lr=7.40e-05, sup=9, onp=7, gpu=22.48G] 
train:  93%|█████████▎| 926/1000 [1:12:42<04:57,  4.01s/it, loss=0.1568, lr=7.40e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 926/1000 [1:12:46<04:57,  4.01s/it, loss=0.1600, lr=7.30e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 927/1000 [1:12:46<04:54,  4.03s/it, loss=0.1600, lr=7.30e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 927/1000 [1:12:50<04:54,  4.03s/it, loss=0.1449, lr=7.20e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 928/1000 [1:12:50<04:48,  4.01s/it, loss=0.1449, lr=7.20e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 928/1000 [1:12:54<04:48,  4.01s/it, loss=0.1655, lr=7.10e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 929/1000 [1:12:54<04:44,  4.01s/it, loss=0.1655, lr=7.10e-05, sup=9, onp=7, gpu=22.48G]
train:  93%|█████████▎| 929/1000 [1:12:57<04:44,  4.01s/it, loss=0.1521, lr=7.00e-05, sup=11, onp=5, gpu=22.48G]
train:  93%|█████████▎| 930/1000 [1:12:57<04:36,  3.95s/it, loss=0.1521, lr=7.00e-05, sup=11, onp=5, gpu=22.48G]
train:  93%|█████████▎| 930/1000 [1:13:02<04:36,  3.95s/it, loss=0.1367, lr=6.90e-05, sup=6, onp=10, gpu=22.48G]
train:  93%|█████████▎| 931/1000 [1:13:02<04:37,  4.03s/it, loss=0.1367, lr=6.90e-05, sup=6, onp=10, gpu=22.48G]
train:  93%|█████████▎| 931/1000 [1:13:05<04:37,  4.03s/it, loss=0.1703, lr=6.80e-05, sup=10, onp=6, gpu=22.48G]
train:  93%|█████████▎| 932/1000 [1:13:05<04:29,  3.96s/it, loss=0.1703, lr=6.80e-05, sup=10, onp=6, gpu=22.48G]
train:  93%|█████████▎| 932/1000 [1:13:09<04:29,  3.96s/it, loss=0.1413, lr=6.70e-05, sup=10, onp=6, gpu=22.48G]
train:  93%|█████████▎| 933/1000 [1:13:09<04:25,  3.97s/it, loss=0.1413, lr=6.70e-05, sup=10, onp=6, gpu=22.48G]
train:  93%|█████████▎| 933/1000 [1:13:12<04:25,  3.97s/it, loss=0.1594, lr=6.60e-05, sup=6, onp=10, gpu=22.48G]
train:  93%|█████████▎| 934/1000 [1:13:12<04:20,  3.95s/it, loss=0.1594, lr=6.60e-05, sup=6, onp=10, gpu=22.48G]
train:  93%|█████████▎| 934/1000 [1:13:17<04:20,  3.95s/it, loss=0.1548, lr=6.50e-05, sup=7, onp=9, gpu=22.48G] 
train:  94%|█████████▎| 935/1000 [1:13:17<04:18,  3.98s/it, loss=0.1548, lr=6.50e-05, sup=7, onp=9, gpu=22.48G]
train:  94%|█████████▎| 935/1000 [1:13:21<04:18,  3.98s/it, loss=0.1489, lr=6.40e-05, sup=9, onp=7, gpu=22.48G]
train:  94%|█████████▎| 936/1000 [1:13:21<04:13,  3.97s/it, loss=0.1489, lr=6.40e-05, sup=9, onp=7, gpu=22.48G]
train:  94%|█████████▎| 936/1000 [1:13:27<04:13,  3.97s/it, loss=0.1515, lr=6.30e-05, sup=5, onp=11, gpu=22.48G]
train:  94%|█████████▎| 937/1000 [1:13:27<04:15,  4.06s/it, loss=0.1515, lr=6.30e-05, sup=5, onp=11, gpu=22.48G]
train:  94%|█████████▎| 937/1000 [1:13:31<04:15,  4.06s/it, loss=0.1480, lr=6.20e-05, sup=8, onp=8, gpu=22.48G] 
train:  94%|█████████▍| 938/1000 [1:13:31<04:13,  4.10s/it, loss=0.1480, lr=6.20e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 938/1000 [1:13:35<04:13,  4.10s/it, loss=0.1634, lr=6.10e-05, sup=6, onp=10, gpu=22.48G]
train:  94%|█████████▍| 939/1000 [1:13:35<04:08,  4.07s/it, loss=0.1634, lr=6.10e-05, sup=6, onp=10, gpu=22.48G]
train:  94%|█████████▍| 939/1000 [1:13:38<04:08,  4.07s/it, loss=0.1581, lr=6.00e-05, sup=10, onp=6, gpu=22.48G]
train:  94%|█████████▍| 940/1000 [1:13:38<04:00,  4.00s/it, loss=0.1581, lr=6.00e-05, sup=10, onp=6, gpu=22.48G]
train:  94%|█████████▍| 940/1000 [1:13:42<04:00,  4.00s/it, loss=0.1513, lr=5.90e-05, sup=7, onp=9, gpu=22.48G] 
train:  94%|█████████▍| 941/1000 [1:13:42<03:56,  4.01s/it, loss=0.1513, lr=5.90e-05, sup=7, onp=9, gpu=22.48G]
train:  94%|█████████▍| 941/1000 [1:13:45<03:56,  4.01s/it, loss=0.1437, lr=5.80e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 942/1000 [1:13:45<03:50,  3.97s/it, loss=0.1437, lr=5.80e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 942/1000 [1:13:49<03:50,  3.97s/it, loss=0.1729, lr=5.70e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 943/1000 [1:13:49<03:45,  3.96s/it, loss=0.1729, lr=5.70e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 943/1000 [1:13:53<03:45,  3.96s/it, loss=0.1533, lr=5.60e-05, sup=10, onp=6, gpu=22.48G]
train:  94%|█████████▍| 944/1000 [1:13:53<03:41,  3.95s/it, loss=0.1533, lr=5.60e-05, sup=10, onp=6, gpu=22.48G]
train:  94%|█████████▍| 944/1000 [1:13:56<03:41,  3.95s/it, loss=0.1656, lr=5.50e-05, sup=8, onp=8, gpu=22.48G] 
train:  94%|█████████▍| 945/1000 [1:13:56<03:36,  3.94s/it, loss=0.1656, lr=5.50e-05, sup=8, onp=8, gpu=22.48G]
train:  94%|█████████▍| 945/1000 [1:14:01<03:36,  3.94s/it, loss=0.1563, lr=5.40e-05, sup=7, onp=9, gpu=22.48G]
train:  95%|█████████▍| 946/1000 [1:14:01<03:35,  3.99s/it, loss=0.1563, lr=5.40e-05, sup=7, onp=9, gpu=22.48G]
train:  95%|█████████▍| 946/1000 [1:14:05<03:35,  3.99s/it, loss=0.1588, lr=5.30e-05, sup=6, onp=10, gpu=22.48G]
train:  95%|█████████▍| 947/1000 [1:14:05<03:30,  3.97s/it, loss=0.1588, lr=5.30e-05, sup=6, onp=10, gpu=22.48G]
train:  95%|█████████▍| 947/1000 [1:14:08<03:30,  3.97s/it, loss=0.1464, lr=5.20e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▍| 948/1000 [1:14:08<03:25,  3.95s/it, loss=0.1464, lr=5.20e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▍| 948/1000 [1:14:12<03:25,  3.95s/it, loss=0.1470, lr=5.10e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▍| 949/1000 [1:14:12<03:20,  3.93s/it, loss=0.1470, lr=5.10e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▍| 949/1000 [1:14:16<03:20,  3.93s/it, loss=0.1618, lr=5.00e-05, sup=7, onp=9, gpu=22.48G] 
train:  95%|█████████▌| 950/1000 [1:14:16<03:15,  3.92s/it, loss=0.1618, lr=5.00e-05, sup=7, onp=9, gpu=22.48G]
                                                                                                               

train:  95%|█████████▌| 950/1000 [1:14:16<03:15,  3.92s/it, loss=0.1618, lr=5.00e-05, sup=7, onp=9, gpu=22.48G]
train:  95%|█████████▌| 950/1000 [1:14:19<03:15,  3.92s/it, loss=0.1434, lr=4.90e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▌| 951/1000 [1:14:19<03:11,  3.91s/it, loss=0.1434, lr=4.90e-05, sup=10, onp=6, gpu=22.48G]
train:  95%|█████████▌| 951/1000 [1:14:24<03:11,  3.91s/it, loss=0.1540, lr=4.80e-05, sup=7, onp=9, gpu=22.48G] 
train:  95%|█████████▌| 952/1000 [1:14:24<03:10,  3.97s/it, loss=0.1540, lr=4.80e-05, sup=7, onp=9, gpu=22.48G]
train:  95%|█████████▌| 952/1000 [1:14:30<03:10,  3.97s/it, loss=0.1549, lr=4.70e-05, sup=3, onp=13, gpu=22.48G]
train:  95%|█████████▌| 953/1000 [1:14:30<03:09,  4.03s/it, loss=0.1549, lr=4.70e-05, sup=3, onp=13, gpu=22.48G]
train:  95%|█████████▌| 953/1000 [1:14:32<03:09,  4.03s/it, loss=0.1373, lr=4.60e-05, sup=12, onp=4, gpu=22.48G]
train:  95%|█████████▌| 954/1000 [1:14:32<03:02,  3.96s/it, loss=0.1373, lr=4.60e-05, sup=12, onp=4, gpu=22.48G]
train:  95%|█████████▌| 954/1000 [1:14:35<03:02,  3.96s/it, loss=0.1512, lr=4.50e-05, sup=9, onp=7, gpu=22.48G] 
train:  96%|█████████▌| 955/1000 [1:14:35<02:56,  3.91s/it, loss=0.1512, lr=4.50e-05, sup=9, onp=7, gpu=22.48G]
train:  96%|█████████▌| 955/1000 [1:14:38<02:56,  3.91s/it, loss=0.1567, lr=4.40e-05, sup=11, onp=5, gpu=22.48G]
train:  96%|█████████▌| 956/1000 [1:14:38<02:48,  3.84s/it, loss=0.1567, lr=4.40e-05, sup=11, onp=5, gpu=22.48G]
train:  96%|█████████▌| 956/1000 [1:14:42<02:48,  3.84s/it, loss=0.1494, lr=4.30e-05, sup=7, onp=9, gpu=22.48G] 
train:  96%|█████████▌| 957/1000 [1:14:42<02:46,  3.87s/it, loss=0.1494, lr=4.30e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▌| 957/1000 [1:14:46<02:46,  3.87s/it, loss=0.1474, lr=4.20e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▌| 958/1000 [1:14:46<02:43,  3.89s/it, loss=0.1474, lr=4.20e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▌| 958/1000 [1:14:53<02:43,  3.89s/it, loss=0.1442, lr=4.10e-05, sup=4, onp=12, gpu=22.48G]
train:  96%|█████████▌| 959/1000 [1:14:53<02:44,  4.02s/it, loss=0.1442, lr=4.10e-05, sup=4, onp=12, gpu=22.48G]
train:  96%|█████████▌| 959/1000 [1:14:56<02:44,  4.02s/it, loss=0.1700, lr=4.00e-05, sup=8, onp=8, gpu=22.48G] 
train:  96%|█████████▌| 960/1000 [1:14:56<02:39,  3.99s/it, loss=0.1700, lr=4.00e-05, sup=8, onp=8, gpu=22.48G]
train:  96%|█████████▌| 960/1000 [1:15:00<02:39,  3.99s/it, loss=0.1466, lr=3.90e-05, sup=11, onp=5, gpu=22.48G]
train:  96%|█████████▌| 961/1000 [1:15:00<02:35,  3.98s/it, loss=0.1466, lr=3.90e-05, sup=11, onp=5, gpu=22.48G]
train:  96%|█████████▌| 961/1000 [1:15:04<02:35,  3.98s/it, loss=0.1567, lr=3.80e-05, sup=8, onp=8, gpu=22.48G] 
train:  96%|█████████▌| 962/1000 [1:15:04<02:30,  3.96s/it, loss=0.1567, lr=3.80e-05, sup=8, onp=8, gpu=22.48G]
train:  96%|█████████▌| 962/1000 [1:15:08<02:30,  3.96s/it, loss=0.1372, lr=3.70e-05, sup=8, onp=8, gpu=22.48G]
train:  96%|█████████▋| 963/1000 [1:15:08<02:26,  3.97s/it, loss=0.1372, lr=3.70e-05, sup=8, onp=8, gpu=22.48G]
train:  96%|█████████▋| 963/1000 [1:15:12<02:26,  3.97s/it, loss=0.1550, lr=3.60e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▋| 964/1000 [1:15:12<02:23,  4.00s/it, loss=0.1550, lr=3.60e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▋| 964/1000 [1:15:17<02:23,  4.00s/it, loss=0.1572, lr=3.50e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▋| 965/1000 [1:15:17<02:20,  4.01s/it, loss=0.1572, lr=3.50e-05, sup=7, onp=9, gpu=22.48G]
train:  96%|█████████▋| 965/1000 [1:15:21<02:20,  4.01s/it, loss=0.1508, lr=3.40e-05, sup=7, onp=9, gpu=22.48G]
train:  97%|█████████▋| 966/1000 [1:15:21<02:16,  4.00s/it, loss=0.1508, lr=3.40e-05, sup=7, onp=9, gpu=22.48G]
train:  97%|█████████▋| 966/1000 [1:15:25<02:16,  4.00s/it, loss=0.1460, lr=3.30e-05, sup=10, onp=6, gpu=22.48G]
train:  97%|█████████▋| 967/1000 [1:15:25<02:12,  4.03s/it, loss=0.1460, lr=3.30e-05, sup=10, onp=6, gpu=22.48G]
train:  97%|█████████▋| 967/1000 [1:15:29<02:12,  4.03s/it, loss=0.1340, lr=3.20e-05, sup=11, onp=5, gpu=22.48G]
train:  97%|█████████▋| 968/1000 [1:15:29<02:08,  4.03s/it, loss=0.1340, lr=3.20e-05, sup=11, onp=5, gpu=22.48G]
train:  97%|█████████▋| 968/1000 [1:15:33<02:08,  4.03s/it, loss=0.1533, lr=3.10e-05, sup=7, onp=9, gpu=22.48G] 
train:  97%|█████████▋| 969/1000 [1:15:33<02:05,  4.04s/it, loss=0.1533, lr=3.10e-05, sup=7, onp=9, gpu=22.48G]
